Nom,Latitude,Longitude,Poissons,Notes
Embouchure du Kunene,-17.2500,11.7500,kob|carangue|requin,Angola/Namibie - frontière - zone Flamingo Lodge
Swakopmund,-22.6784,14.5266,kob|steenbras|blacktail,Namibie - reef break Wreck - bonne pêche à marée haute
Walvis Bay,-22.9575,14.5053,kob|steenbras,Namibie - grande baie abritée
Henties Bay,-22.1160,14.2845,kob|steenbras|blacktail|requin cuivre,Namibie - capitale namibienne du surfcasting
Cape Cross,-21.7667,13.9500,kob|steenbras|blacktail|requin,Namibie - grande colonie d'otaries - excellente pêche
Ugab River Mouth,-21.1167,13.6500,kob|steenbras|galjoen,Namibie - limite sud du parc de la Skeleton Coast
Torra Bay,-19.9833,13.1667,kob|steenbras,Namibie - camp de pêche dans le parc Skeleton Coast
Terrace Bay,-19.9333,12.9167,kob|steenbras,Namibie - camp de pêche isolé - Skeleton Coast
Cap Spartel,35.7910,-5.9230,daurade|pageot|rouget,Maroc - spot mythique du détroit de Gibraltar
Robben Island / Blouberg (Cape Town),-33.8020,18.4560,galjoen|kob|steenbras,Afrique du Sud - surfcasting réputé sur la côte atlantique
Sodwana Bay,-27.4833,32.6833,GT|thon|marlin,Afrique du Sud - référence de la pêche sportive au gros au KwaZulu-Natal
Watamu,-3.3500,40.0167,voilier|marlin|thon,Kenya - un des meilleurs spots de billfish d'Afrique de l'Est
Kilifi,-3.6333,39.8500,carangue|barracuda|mérou,Kenya - récifs et embouchure réputés
Nosy Be,-13.3167,48.2667,GT|carangue|barracuda,Madagascar - pêche au popper sur récifs
Los Roques,11.8000,-66.6667,bonefish|tarpon|permit,Venezuela - archipel réputé pour la pêche à la mouche
Costa Rica (Golfe de Papagayo),10.6300,-85.6700,voilier|marlin|thon jaune,Costa Rica - grande zone de pêche sportive au gros du Pacifique
Ascension Island,-7.9467,-14.3559,thon|carangue géante,Océan Atlantique Sud - île isolée réputée pour le gros GT
Le Wharf (ancien port),18.0500,-15.9800,bar|carangue,"Mauritanie - spot de surf réputé au sud de Nouakchott, aussi bon pour la pêche selon les surfeurs locaux"
Lagouira (ghost town),20.7500,-17.0300,courbine|carangue,Mauritanie - points droits rapides près de Nouadhibou
Fisherman's (Monrovia),6.3200,-10.8000,tarpon|carangue,Liberia - point break gauche puissant à Monrovia
Mamba Point (Monrovia),6.3100,-10.8100,tarpon|carangue,Liberia - point break gauche en plein centre de Monrovia
Tico's Point,6.3000,-10.7800,tarpon|carangue,Liberia - beach break droite/gauche
8th Street (Sinkor),6.2900,-10.7600,tarpon|carangue,Liberia - sandbar break rapide et creux
Silver Beach,6.2000,-10.4500,tarpon|carangue,Liberia - beach break puissant
Barn's Beach,6.1800,-10.4000,tarpon|carangue,Liberia - beach break accessible par la route près de Monrovia
Skeleton Bay,-22.9800,14.4700,kob|steenbras,"Namibie - vague gauche de classe mondiale, aussi bon spot de surfcasting proche de Walvis Bay"
Bocock's Bay,-21.3500,14.0000,kob|steenbras,Namibie - point break à 160km au nord de Swakopmund
Thicklip,-22.6600,14.5300,kob|steenbras,Namibie - vague exigeante proche de Swakopmund
Malpica (Costa da Morte),43.3167,-8.8167,lubina|congrio|sargo|raya,"Espagne - Galice, Costa da Morte, zone rocheuse très poissonneuse"
Ribeira (Galicia),42.5667,-8.9833,lubina|dorada|sargo,"Espagne - Galice, rías baixas"
Muxía,43.1067,-9.2167,lubina|congrio|sargo,"Espagne - Galice, Costa da Morte"
Playa de Langosteira,43.3500,-8.4000,robalo|sargo,"Espagne - Galice, fort ressac, bon pour la sardine comme appât"
Playa de Lastres (Asturias),43.5100,-5.2600,chopa|botón,"Espagne - Asturies, falaises et rochers"
Playa de Arnao,43.5700,-6.1300,lubina|lisa|salmón,"Espagne - Asturies, zone de surfcasting réputée"
Gijón,43.5453,-5.6615,lubina|sargo|abadejo,"Espagne - Cantabrique, destination surfcasting connue"
Santander,43.4623,-3.8099,lubina|sargo|abadejo,Espagne - Cantabrique
San Sebastián,43.3183,-1.9812,lubina|sargo|abadejo,Espagne - Pays basque
Estrecho de Gibraltar (Tarifa),36.0128,-5.6076,lubina|dorada|caballa,"Espagne - Détroit de Gibraltar, très fort courant, faune très riche"
Playa de Marbella,36.5100,-4.8826,dorada|sargo|róbalo,"Espagne - Costa del Sol, Malaga"
Playa de Torremolinos,36.6203,-4.4998,dorada|sargo,Espagne - Costa del Sol
Playa de Fuengirola,36.5411,-4.6245,dorada|sargo|róbalo,Espagne - Costa del Sol
Cabo de Palos,37.6389,-0.6903,lubina|rodaballo|besugo,"Espagne - Murcie, cap réputé pour le surfcasting"
Isla Grosa,37.6667,-0.6667,lubina|besugo,"Espagne - Murcie, réserve marine proche de Cabo de Palos"
Playa del Arenal (L'Ampolla),40.8100,0.6100,lubina|herrera|dorada,"Espagne - delta de l'Èbre, fonds riches en coquillages"
Playa de la Marquesa,40.7167,0.7333,lubina|dorada|herrera,"Espagne - delta de l'Èbre, idéale pour débutants"
Port Saplaya (Valencia),39.5333,-0.3167,dorada|lubina,"Espagne - Valence, spot accessible"
Cala Montgó (Costa Brava),42.1167,3.1667,dorada|sargo|pagel,"Espagne - Costa Brava, calas sauvages"
Arenal de Pals,41.9667,3.2000,dorada|sargo|pagel,Espagne - Costa Brava
Cala Aiguablava,41.9333,3.2167,sargo|lubina,Espagne - Costa Brava
Calella de Palafrugell,41.8967,3.2117,sargo|dorada|pagel,"Espagne - Costa Brava, village de pêcheurs"
Barceloneta (Barcelone),41.3775,2.1900,lubina|dorada,Espagne - plage urbaine de Barcelone
Playa da Rocha (Portimão),37.1167,-8.5333,sargo|robalo|linguado,"Portugal - Algarve, plage réputée"
Praia de Monte Gordo,37.1833,-7.4500,sargo|robalo,Portugal - Algarve est
Sagres (Tonel/Beliche),37.0067,-8.9439,sargo|robalo|corvina,"Portugal - pointe sud-ouest, falaises spectaculaires"
Praia do Amado (Carrapateira),37.1833,-8.9167,sargo|robalo,Portugal - Costa Vicentina
Arrifana,37.2833,-8.8667,sargo|robalo,"Portugal - Costa Vicentina, baie protégée"
Praia de Carcavelos,38.6800,-9.3350,sargo|robalo,Portugal - région de Lisbonne
Praia do Guincho,38.7325,-9.4739,robalo|sargo|corvina,"Portugal - Cascais, forts vents et courants"
Praia do Meco,38.4900,-9.2100,sargo|robalo,Portugal - Costa da Caparica sud
Costa da Caparica,38.6500,-9.2400,sargo|robalo|linguado,Portugal - grande plage au sud de Lisbonne
Praia Grande (Sintra),38.8000,-9.4700,robalo|sargo,"Portugal - Sintra, spot consistant"
Praia do Norte (Nazaré),39.6033,-9.0722,sargo|peixe-gato,Portugal - vagues géantes mondialement connues
Praia da Vieira,39.8500,-8.9700,robalo|linguado,Portugal - centre du pays
Peniche (Supertubos/Baleal),39.3558,-9.3811,robalo|sargo|linguado,"Portugal - un des meilleurs spots de surf/pêche du pays, 2e port de pêche du Portugal"
Ericeira (Ribeira d'Ilhas),38.9833,-9.4189,robalo|sargo,Portugal - réserve mondiale de surf UNESCO
Figueira da Foz (Cabedelo),40.1500,-8.8667,robalo|linguado,Portugal - digue stabilisant les bancs de sable
Espinho,41.0067,-8.6417,robalo|sargo,"Portugal - nord, bonne tradition de pêche"
Praia de Mira,40.4333,-8.7667,robalo|linguado,Portugal - centre
Praia de São Torpes,37.9667,-8.7833,robalo|sargo,Portugal - Alentejo côtier
Praia da Aguda,41.0500,-8.6667,robalo|sargo,"Portugal - nord, proche de Porto"
Praia da Apúlia,41.4667,-8.7833,robalo|sargo,Portugal - nord
Praia de Vila Chã,41.2833,-8.7333,robalo|sargo,Portugal - nord
Viana do Castelo,41.6933,-8.8342,robalo|sargo,"Portugal - nord, spot moins fréquenté"
Santa Cruz (Torres Vedras),39.1500,-9.4300,robalo|sargo,"Portugal - montant, moins fréquenté qu'Ericeira"
Pointe de la Torche,47.8386,-4.3517,bar|lieu|maquereau,"France - Bretagne, spot mythique du surf breton, aussi bon en pêche"
Baie des Trépassés,48.0400,-4.7300,bar|congre,"France - Bretagne, entre pointe du Van et pointe du Raz"
Petit Minou (Plouzané),48.3600,-4.6200,bar|lieu,"France - Bretagne, rade de Brest"
Plage de la Palue (Crozon),48.2300,-4.5200,bar|dorade,"France - Bretagne, presqu'île de Crozon"
Porspoder,48.4900,-4.7600,bar|congre,"France - Bretagne, reef breaks réputés"
Guidel (Morbihan),47.7500,-3.4700,bar|dorade,"France - Bretagne, proche de Lorient"
Côte Sauvage (Quiberon),47.4800,-3.1500,bar|congre|dorade,"France - Bretagne, spot connu de Quiberon"
Île aux Vaches (Audierne),48.0200,-4.5500,bar|congre,"France - Bretagne, spot réservé aux expérimentés"
Saint-Malo,48.6494,-2.0257,bar|lieu,"France - Bretagne, idéal pour débutants au surfcasting"
Etretat,49.7075,0.2036,bar|dorade,"France - Normandie, falaises emblématiques"
Hossegor / Capbreton / Seignosse,43.6600,-1.4400,bar|dorade|maquereau,"France - Landes, spot mondialement connu"
Biarritz,43.4832,-1.5586,bar|dorade,France - Pays basque
La Rochelle / Île de Ré,46.1591,-1.1520,bar|dorade,France - Charente-Maritime
Palavas-les-Flots,43.5283,3.9308,bar|dorade|sar,"France - Méditerranée, Hérault"
Perros-Guirec / Trestel,48.8167,-3.4500,bar|congre,France - Côte de Granit Rose
Saint-Michel-en-Grève,48.6833,-3.5833,bar|lieu,France - Côte de Granit Rose
Dumfries and Galloway (Brighouse Bay),54.7500,-4.0700,bass|flatfish,"UK - Écosse, un des meilleurs spots de pêche du Royaume-Uni"
Orkney (Kirkwall Harbour Bay),58.9807,-2.9605,cod|mackerel|flatfish,"UK - Écosse, îles Orkney"
Pease Bay,55.9500,-2.3500,wrasse|flatfish,"UK - Écosse (Scottish Borders), aussi spot de surf"
Porthleven (Cornwall),50.0850,-5.3170,bass|ray|mackerel,"UK - Cornouailles, village de pêcheurs iconique"
Tynemouth Pier,55.0167,-1.4167,cod|whiting|flatfish,"UK - Angleterre, longue jetée en mer du Nord"
Oban,56.4152,-5.4719,skate|cod,"UK - Écosse, ""capitale des fruits de mer"""
Falmouth (Prince of Wales Pier),50.1533,-5.0700,flatfish|conger|bass,UK - Cornouailles
Porthtowan / Chapel Porth / Portreath,50.2650,-5.2400,bass|flatfish,"UK - Cornouailles, grandes plages de sable"
Fistral Beach (Newquay),50.4167,-5.1000,bass,"UK - Cornouailles, spot de surfcasting"
St Ives Pier,50.2109,-5.4802,mackerel|bass|pollack,UK - Cornouailles
Llandudno Pier,53.3300,-3.8300,mackerel|flounder|whiting,UK - Pays de Galles
Holyhead Breakwater,53.3167,-4.6333,bass|pollock|mackerel,"UK - Anglesey, Pays de Galles"
Aberdeen Beach,57.1497,-2.0943,cod|mackerel|flatfish,UK - Écosse
Dungeness Beach,50.9139,0.9722,cod|bass|flounder,"UK - Kent, Angleterre"
Deal Pier,51.2233,1.4067,bass|flounder|sole,"UK - Kent, Angleterre"
Isle of Skye,57.2736,-6.2155,salmon|cod|haddock,UK - Écosse
Achill Island,53.9667,-10.0500,bass|pollack|mackerel,"Irlande - comté de Mayo, côte sauvage"
Kinsale (Cork),51.7070,-8.5310,bass|mackerel|pollack,Irlande - port de pêche réputé du sud
Lignano Sabbiadoro,45.6833,13.1333,spigola|orata,"Italie - embouchure du Tagliamento, surfcasting réputé"
Chioggia / Delta du Pô,45.2167,12.2833,sogliola|cefalo,"Italie - delta du Pô, écosystème riche"
Porto Venere / Cinque Terre,44.0500,9.8400,spigola|dentice,Italie - Ligurie
Sanremo,43.8159,7.7761,tonno|spigola,"Italie - Ligurie, pêche pélagique"
Fiumicino / embouchure du Tibre,41.7700,12.2300,spigola,"Italie - Latium, zone très productive"
Monte Argentario,42.4400,11.1100,dentice|ricciola,Italie - Toscane
Elba,42.7800,10.2900,dentice|spigola,Italie - Toscane
Circeo / Sabaudia,41.2400,13.0700,orata|spigola,Italie - Latium
Gargano / Vieste,41.8800,16.1700,dentice|ricciola,Italie - Pouilles
Salento (Otrante),40.1500,18.4900,dentice|spigola,Italie - Pouilles
Maratea,39.9900,15.7100,spigola|dentice,Italie - Basilicate
Badesi (Sardaigne),40.9900,8.8100,spigola|orata,"Italie - Sardaigne, plage réputée pour le surfcasting"
Maganuco (Marina di Modica),36.7500,14.8000,orata|spigola,Italie - Sicile
Taormina,37.8522,15.2865,dentice|spigola,Italie - Sicile
Crète (La Canée),35.5138,24.0180,mérou|pageot|bonite,Grèce - côte nord de Crète
Rethymno (Crète),35.3667,24.4667,mérou|barracuda,Grèce - Crète
Santorin (Akrotiri),36.3500,25.3600,poulpe|anchois|maquereau,Grèce - Cyclades
Kos,36.8933,27.2881,denté|barracuda|bonite,Grèce - Dodécanèse
Rhodes,36.4341,28.2176,thon rouge|sériole,Grèce - Dodécanèse
Corfou,39.6243,19.9217,thon|sériole|calmar,Grèce - îles Ioniennes
Naxos,37.1036,25.3766,thon|sériole|calmar,Grèce - Cyclades
Iles Lofoten,68.2340,14.5687,cabillaud|flétan,"Norvège - pêche en mer réputée mondialement, sans permis"
Iles Vesterålen,68.9000,15.0000,cabillaud|flétan|loup de mer,Norvège
Senja,69.3000,17.5000,cabillaud|flétan,Norvège
Archipel de Stockholm,59.3293,18.0686,truite de mer|morue|maquereau,Suède - libre le long de toute la côte suédoise
