ID;Nom;Nom scientifique;Famille;Photo URL;Region;Habitat;Taille min (cm);Taille max (cm);Poids min (kg);Poids max (kg);Saison;Techniques et appats;Description;Conseils;Reglementation
sole;Sole commune;Solea solea;Soleidae;https://images.pexels.com/photos/15974829/pexels-photo-15974829/free-photo-of-a-blue-tray-with-fish-on-it.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;Fonds sableux et vaseux. De 2 à 70m.;15;60;0.1;3;Toute l'année. Meilleure de mars à mai et octobre à décembre.;"Surfcasting - Pêche de nuit sur les fonds de sable et vase. [Arenicole: Le ver roi de la sole. Enfiler 2-3 vers sur l'hameçon. | Couteau: Très efficace en Méditerranée. | Moule: Appât naturel sur les fonds vaseux.] ;; Pêche au coup - Pêche fine en bateau sur les fonds de sable. [Vers marins: Néréides et arénicoles. | Crevette: Petites crevettes entières.]";La sole commune est un poisson plat très prisé pour sa chair délicate. Elle vit enfouie dans le sable la journée et sort se nourrir la nuit. Ses yeux sont tous du même côté (gauche). Sa pêche nécessite patience et discrétion mais la récompense est à la hauteur de sa réputation gastronomique.;La sole se pêche presque exclusivement la nuit. Les fonds de sable fin près des rochers sont les meilleurs spots. Montage léger et discret. Arénicole eschée en bouquet. La sole mord souvent par petits coups : attendez qu'elle avance avec l'esche avant de ferrer.;"Taille minimale : 24cm en Méditerranée, 20cm en Atlantique. Pas de fermeture."
turbot;Turbot;Scophthalmus maximus;Scophthalmidae;https://images.pexels.com/photos/20121107/pexels-photo-20121107/free-photo-of-fish-at-fishmonger.jpeg?auto=compress&cs=tinysrgb&w=600;Océan Atlantique;"Fonds sableux, graveleux. De 5 à 70m.";30;100;1;25;Toute l'année. Meilleur au printemps et automne.;"Surfcasting - Pêche de nuit sur les plages de sable et gravier. [Poissonnet vivant: Le meilleur appât pour le turbot. | Sardine en filet: Très attractive. | Couteau: Bonne alternative.] ;; Pêche au coup - Pêche en bateau à la dérive sur les fonds de sable. [Lançon vivant: Appât vivant de premier choix. | Crevette: Efficace en montage léger.]";"Le turbot est le plus grand des poissons plats européens. Son corps large et aplati est couvert de tubercules osseux. Poisson de fond, il se camoufle dans le sable pour surprendre ses proies. Sa chair est considérée comme l'une des plus fines de la mer. Sa capture est toujours un événement.";Le turbot préfère les fonds de gravier et de coquillés. Un appât vivant est souvent décisif. Les nuits sans lune sont les plus productives. Matériel robuste car le turbot ne se laisse pas faire.;Taille minimale : 30cm. Pas de fermeture.
roussette;Roussette (Petite roussette);Scyliorhinus canicula;Scyliorhinidae;https://images.pexels.com/photos/36171122/pexels-photo-36171122.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Fonds sableux, rocheux, graveleux. De 5 à 100m.";20;80;0.2;3;Toute l'année. Très commune en automne-hiver.;"Surfcasting - Pêche de nuit sur tous types de fonds. [Sardine entière: Appât universel pour la roussette. | Morceau de maquereau: Très attractif. | Crabe vert: Efficace en hiver.] ;; Palangre - Ligne de fond avec multiples hameçons. [Sardine en tronçons: Classique et efficace.]";"La petite roussette est le requin le plus commun sur nos côtes. Ce petit squamate nocturne se nourrit de crustacés, mollusques et petits poissons. Très résistante, elle peut être envahissante en surfcasting nocturne. Sa chair est comestible mais peu prisée (souvent appelée ""saumonette"").";"Si vous ne cherchez pas les roussettes, utilisez des appâts sélectifs (couteau) et évitez les appâts carnés la nuit. Sinon, elles sont faciles à capturer avec de la sardine.";Taille minimale : aucune. Pas de fermeture.
congre;Congre;Conger conger;Congridae;https://images.pexels.com/photos/19993441/pexels-photo-19993441/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Rochers, épaves, failles, ports. De 2 à 100m+.";40;250;1;40;"Toute l'année. Meilleur de nuit, surtout en hiver.";"Surfcasting - Pêche de nuit près des rochers et digues. [Sardine entière: Appât numéro 1 pour le congre. | Tête de maquereau: Très attractive et tenace. | Calamar en morceaux: Efficace en Méditerranée.] ;; Palangre - Ligne de fond près des failles rocheuses. [Sardine en tronçons: Incontournable.]";"Le congre est le plus grand anguilliforme de nos côtes. Ce prédateur nocturne vit dans les failles rocheuses et les épaves. Il peut atteindre 2,50m et 40 kg. Sa mâchoire puissante et sa dentition redoutable exigent des bas de ligne en acier. Combat longue et tenace.";Le congre mord par coups puissants mais ne fuit pas : ferrage appuyé nécessaire. Bas de ligne acier obligatoire (il coupe le fluoro). Les grosses sardines eschées entières sont les plus sélectives. Pêchez la nuit au plus près des rochers.;"Taille minimale : aucune en Atlantique, 58cm en Méditerranée. Pas de fermeture."
mur-loup;Mur (Merlan);Merlangius merlangus;Gadidae;https://images.pexels.com/photos/19993434/pexels-photo-19993434/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Océan Atlantique;"Fonds sableux et vaseux, parfois rocheux. De 10 à 200m.";20;70;0.2;3;Toute l'année. Meilleur en hiver.;"Surfcasting - Pêche de nuit sur les plages de sable. [Arenicole: Appât classique du merlan. | Couteau: Efficace en période froide. | Morceau de maquereau: Pour les gros sujets.] ;; Pêche au coup - Pêche en bateau à la dérive. [Vers marins: Montage léger, touches rapides. | Crevette: Très prisée du merlan.]";"Le merlan est un gadidé élancé très commun sur les côtes atlantiques. Il se déplace en bancs et se pêche aisément du bord en surfcasting, surtout la nuit. Poisson modeste mais excellent sur le plan culinaire, il est le compagnon habituel des pêcheurs de nuit en Atlantique.";Le merlan est un poisson de nuit par excellence. Pêchez à la plage avec des vers marins. Les touches sont franches et faciles à détecter. C'est un excellent poisson pour débuter le surfcasting.;Taille minimale : 20cm. Pas de fermeture.
pageot-rose;Pageot rose;Pagellus erythrinus;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Fonds sableux et vaseux, herbiers. De 10 à 80m.";15;50;0.2;2;Toute l'année. Meilleur d'avril à octobre.;"Surfcasting - Pêche sur fonds sableux en Méditerranée. [Couteau: Appât de premier choix. | Crabe vert: Efficace en toutes saisons.] ;; Pêche au coup - Pêche fine en bateau sur les fonds de sable. [Vers marins: Néréides et amoureux. | Crevette: Montage léger, hameçon petit.]";"Le pageot rose est un sparidé élégant au corps rosé. Très commun en Méditerranée, il affectionne les fonds sableux et les herbiers. Poisson grégaire, il se capture facilement avec des appâts naturels. Sa chair fine en fait un poisson très apprécié.";Le pageot est moins méfiant que la dorade. Montage simple suffit. Les heures chaudes sont favorables en été. Eschez petit pour maximiser les touches.;Taille minimale : 15cm. Pas de fermeture.
chinchard;Chinchard (Saurel);Trachurus trachurus;Carangidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Pélagique, bancs en surface et mi-eau. Côtes et au large.";15;50;0.1;1.5;Toute l'année. Très actif en été.;"Spinning - Recherche active sur les bancs en surface. [Petit leurre dur: Récupération rapide. | Leurre souple petit modèle: Sous les bancs en surface. | Metal jig léger: Lancer au milieu du banc.] ;; Pêche au coup - Pêche à la plombée avec amorce. [Vers marins: Esche légère. | Pâte de poisson: Amorce attractive.]";"Le chinchard (ou saurel) est un carangidé pélagique très commun. Il évolue en bancs denses et chasse en surface, créant des chasses visibles. Poisson combatif pour sa taille, il est aussi un excellent appât vivant pour les prédateurs (bar, maigre, thon).";Repérez les chasses en surface. Lancez au cœur du banc avec un petit leurre. Récupération rapide et saccadée. Le chinchard est parfait pour la pêche familiale.;Taille minimale : 15cm. Pas de fermeture.
crabes-ces;Crabe vert (Crabe enragé);Carcinus maenas;Portunidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Rochers, vasières, ports, estuaires. Zone intertidale.";2;8;0.01;0.1;Toute l'année. Plus actif en hiver.;"Appât mort - Appât universel esché sur la hampe ou en morceaux. [Crabe vert entier: Esché sur hampe, carapace fissurée. | Crabe vert en morceaux: Pinces et pattes efficaces.]";"Le crabe vert (ou crabe enragé) n'est pas un poisson mais L'appât roi de la pêche en mer du bord. Présent sur tous les rivages, il se ramasse facilement sous les pierres. Esché entier sur la hampe avec carapace fissurée, ou en morceaux, il attire tous les sparidés : dorades, sars, pageots. En hiver, c'est souvent le seul appât qui fonctionne.";"Ramassez les crabes sous les pierres à marée basse. Eschez entier en fissurant la carapace pour diffuser les odeurs. En hiver, les gros crabes mous (qui viennent de muer) sont les plus efficaces. Le crabe vert se conserve vivant dans un seau d'eau de mer au frais.";Pas de réglementation spécifique pour la collecte.
dorade-rosy;Dorade des marais (Pagre);Sparus pagrus;Sparidae;https://images.pexels.com/photos/33654184/pexels-photo-33654184/free-photo-of-fresh-bream-display-at-seafood-market.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Fonds rocheux, coralligène, sable. De 10 à 100m.";20;60;0.5;5;Toute l'année. Meilleur en automne-hiver.;"Surfcasting - Pêche au large des côtes rocheuses. [Couteau: Appât principal du pagre. | Crabe vert: Efficace en hiver.] ;; Pater-noster - Montage sur fonds durs. [Calamar en lamelles: Très attractif en Méditerranée. | Moule entière: Naturel et gratuit.]";"Le pagre est un sparidé de belle taille, cousin de la dorade royale. Moins commun mais plus massif, il affectionne les fonds rocheux profonds. Sa chair est exceptionnelle. Sa capture est toujours un événement car c'est un poisson rare et méfiant.";Le pagre est un poisson rare : ne l'attendez pas sur tous les coups. Eschez généreusement et pêchez patient. Les zones de coralligène sont ses refuges préférés.;Taille minimale : 20cm. Pas de fermeture.
lancon;Lançon;Ammodytes tobianus;Ammodytidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Fonds sableux, zone intertidale. S'enfouit dans le sable.";8;20;0.005;0.03;Mars à octobre. Meilleur en été.;"Appât vivant - Appât vivant de premier choix pour tous les prédateurs. [Lançon vivant: Pêché au filet ou à la bouteille, esché vif.] ;; Pêche au coup - Pêche directe au lançon (pour consommation ou appât). [Pâte de poisson: Amorce pour attirer les lançons.]";"Le lançon est un petit poisson en forme de lame qui s'enfouit dans le sable. C'est l'appât vivant par excellence : bar, maigre, lieu, turbot... tous les prédateurs en raffolent. Il se pêche à la bouteille ou au filet sur les plages de sable. Sa collecte est un rituel du pêcheur en mer.";Pour ramasser les lançons : remplissez une bouteille plastique d'eau de mer et enfouissez-la dans le sable à marée descendante. Les lançons viendront s'y réfugier. Conservez-les vivants dans un seau d'eau de mer avec du sable.;Pas de réglementation spécifique.
merou-brun;Mérou brun;Epinephelus marginatus;Serranidae;https://images.pexels.com/photos/14062103/pexels-photo-14062103.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Rochers, grottes, épaves. De 5 à 60m.";30;140;1;50;Toute l'année. Plus actif au printemps et automne.;"Spinning - Pêche aux leurres près des grottes et failles. [Leurre dur gros modèle: Imitation de poisson de taille. | Leurre souple (shad 15cm+): Pêche profonde dans les failles.] ;; Appât vivant - Pêche au vif devant les grottes. [Sardine vivante: Le meilleur appât du mérou. | Mulet vivant: Pour les gros spécimens.] ;; Jigging - Jigging vertical sur les tombants profonds. [Jig métallique 60-200g: Prospection des zones profondes.]";"Le mérou brun est le seigneur des rochers méditerranéens. Ce serranidé massif peut atteindre 1,40m et 50 kg. Il vit dans les grottes et les failles rocheuses qu'il défend farouchement. Poisson très curieux, il s'approche souvent des plongeurs. Sa pêche est sportive et son combat mémorable.";Le mérou est territorial : il revient toujours à sa grotte. Repérez les postes et pêchez-les méthodiquement. Un leurre qui passe devant sa grotte déclenche l'attaque. Attention : le mérou est protégé dans certaines zones.;ESPÈCE PROTÉGÉE en Méditerranée française. Pêche interdite dans les réserves. Hors réserve : taille minimale 45cm. Vérifiez la réglementation locale.
oblade;Oblade;Oblada melanura;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Surface et mi-eau près des côtes rocheuses, ports, digues.";10;30;0.05;0.3;Avril à octobre. Très active en été.;"Pêche au coup - Pêche au flotteau près des digues et ports. [Pâte de pain: Appât traditionnel de l'oblade. | Crevette: Vivante de préférence.] ;; Pêche à la bombe - Amorce concentrée en surface. [Bombe au pain: Mélange très attractif en surface.]";"L'oblade est un petit sparidé grégaire très commun en Méditerranée. Reconnaissable à sa tache noire sur le pédoncule caudal, elle évolue en bancs denses près de la surface. Facile à capturer, c'est le poisson idéal pour initier les enfants à la pêche en mer.";Amorcez en surface pour concentrer le banc. Pêchez au flotteau waggler très léger. L'oblade est excellente en friture.;Taille minimale : 10cm. Pas de fermeture.
girelle;Girelle paon;Thalassoma pavo;Labridae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Rochers, herbiers, zone littorale. De 0 à 20m.";8;25;0.02;0.15;Toute l'année. Très active en été.;Pêche au coup - Pêche fine au flotteau près des rochers. [Crevette: Le must pour la girelle. | Vers fins: Montage ultra-léger.];"La girelle paon est l'un des plus beaux poissons de Méditerranée. Ses couleurs chatoyantes (bleu, vert, jaune) en font un poisson spectaculaire. Ce labridé de petite taille vit sur les rochers et les herbiers. Très curieux, il approche facilement les pêcheurs.";La girelle se pêche au flotteau ultra-léger. Eschez petit (morceau de crevette). C'est un excellent poisson pour la pêche familiale en Méditerranée.;Pas de taille minimale. Pas de fermeture.
