Spot,Latitude,Longtitude,Infos,Commentaires
افتاس ايمسوان - Imeswan,30.838520999999982,-9.821391999999992,,
المجني - El majni,30.84801999999999,-9.826062999999992,,
ايدقان اوملو - Idekkan oumlou,30.855963999999993,-9.821940999999992,,
تاصورت اومالو - Tassort owmalo,30.87072499999999,-9.814779999999994,,
تاريفت - Tarrift,30.884927999999988,-9.81204699999999,,
املال ايموزار-Amlal imozar,30.890517999999982,-9.807234999999991,,
إيسك ايفرضن - Isk iferdn,30.906774999999985,-9.816711999999992,,
إفردا - Iferda,30.91946439999999,-9.817801599999992,,
تامدا أوهراوي,30.94142879999999,-9.818258899999993,,
إمرديتسن - Imerditsen,30.95543119999999,-9.821935399999992,,
تيمزڭيدا - Timzgida,30.963421099999987,-9.824187799999994,,
تاسللومت - Tasselloumt,30.976506499999985,-9.82398839999999,,
بيفوا  Byfoua,30.980723999999984,-9.82292619999999,,
بيزلا - Byzla,30.984121199999986,-9.82026819999999,,
تيسي نتباعيت-Tissi ,30.986670699999983,-9.818081099999992,,
تيمزڭيدا اوفتاس,30.99513229999999,-9.811218699999989,,
موقشاب - Bowkchab,31.01376469999998,-9.810037099999994,,
تافتاست نتيمغارين-Taftast ntimgharin,31.024210799999988,-9.81533179999999,,
اكنيون - Ikniwn,31.040757199999987,-9.816232099999992,,
المزورت - Elmzoart,31.05918269999998,-9.823902099999993,,
تافضنا - Tafedna,31.084410199999986,-9.818329599999993,,
دو تاڭانت - Dou tagant,31.101491999999986,-9.839018999999992,,
تافتاست واوتيل-Taftast wawtil,31.122880599999977,-9.833324699999993,,
لالواح - Lalwah,31.145855099999995,-9.837285199999991,,
تودديمين - Touddimin,31.157528599999992,-9.829970199999991,,
إيفري ايزم - Ifri izm,31.16811499999999,-9.829039399999992,,
سيدهم حمد السايح-Cd hmad sayh,31.179907899999993,-9.817550999999991,,
افتاس افتان-Aftas iftan,31.197463099999993,-9.815437499999993,,
تيسي اوبعيسى-Tissi obaisa,31.204149999999984,-9.82129539999999,,
دار النصراني - Tabakchoult,31.242724499999987,-9.816883699999991,,
العلو بيضان - Bydan,31.254672999999983,-9.810780699999993,,
سيدهم مبارك-Cd mbarek,31.262627099999982,-9.805727799999989,,
افتاس نتزروالت-Aftas ntzarwalt,31.319534699999988,-9.793830599999993,,
سيدهم كاوكي-Cd kawki,31.354654499999985,-9.797936599999991,,
افتاس نتڭنزا-Aftas ntgenza,31.371216799999985,-9.80368039999999,,
ايت واسن - Ait wassen,31.38499549999999,-9.814371699999992,,
كاب سيم - Cap sim,31.39663129999998,-9.821671899999993,,
افتاس الدويرة - Douira,30.125585275208287,-9.654239863157272,,
بولفيسان - Boulfisan,30.112914240941908,-9.658131413161756,,
افتاس سيدهم الرباط-Cd rbat,30.09146169999999,-9.666198299999992,,
سيدهم الغريب-Cd lghrib,30.10467429999998,-9.66241229999999,,
دار النصراني - witidern,30.050103299999993,-9.694664599999992,,
تافراوت - Tafrawt,30.039118799999986,-9.699328899999994,,
افتاس املالن - Aftas imalaln,30.021303199999988,-9.70796829999999,,
امقرص - Amkers,30.010874099999985,-9.713719699999992,,
تبلبالت - Tabelbalt,30.006192799999987,-9.715762799999991,,
بيجوكجا - Byjokja,29.97706709999999,-9.728946599999993,,
امين اغزر - Imin ighzer,29.963622999999984,-9.737811299999992,,
فاندي - Fandi,29.95611479999999,-9.741330399999992,,
بعرور - Baarour,29.94515709999999,-9.74703809999999,,
بيكدال - Bygdal,29.93499889999999,-9.755849699999992,,
بوتسرا - Boutasra,29.928356599999994,-9.760043399999992,,
وارغافت - Warghaft,29.92236399999999,-9.761678699999992,,
ازاكز (بيزداز)- Azagz,29.90727749999999,-9.76604939999999,,
الكصيعة - Lagsiaa,29.895077399999987,-9.774361599999992,,
المصيدة - Lamsyda,29.888831399999987,-9.779178899999991,,
بولمداول - Boulmdawl,29.886377999999986,-9.781646499999994,,
واد تمزليت-Oued timzlit,29.83872409999999,-9.80939079999999,,
مولمعارض - Moulmaard,29.852535099999987,-9.797486999999991,,
بوغرارا - Boughrara,29.845607099999988,-9.804267699999992,,
بومنصور - Boumansor,29.833669999999994,-9.81523939999999,,
ازرو زڭاغن-Azro zggaghn,29.796534499999986,-9.843268799999992,,
دولكاعدا - Dou lgaada,29.764143999999984,-9.872457499999992,,
فريكريك - Frikrik,29.749199399999988,-9.894719899999991,,
تلات واكمار-Talat wagmar,29.743105699999983,-9.90257479999999,,
سيدهم بولانوار-Cd bounwar,29.73350959999999,-9.91432169999999,,
انفزا - Infza,29.73012949999999,-9.921662799999991,,
مولفاع - Moulfaa,29.71912009999999,-9.934833799999991,,
دو تشدرين-Dou tichdrin,29.711097499999987,-9.94326429999999,,
تلات نبوعزا-Talat nbouaaza,29.703838699999984,-9.95021249999999,,
بلحضر - Belhdar,29.69363279999999,-9.964236999999994,,
سيدهم بولفضايل-Cd boulfdayl,29.68853459999999,-9.966479299999992,,
بوعلاك - Bouallag,29.67613439999999,-9.98021819999999,,
افتاس جلب-Aftas jellb,29.66889379999999,-9.981722699999992,,
ميليحا - Miliha,29.657708799999988,-9.987728099999991,,
إڭي الهوا-Igi lehwa,29.65393739999999,-9.988612199999992,,
سيدهم تيبوجعرتين - Tiboujaaratin,29.650566899999987,-9.991165599999992,,
كريزيم - Grizim,29.634502799999986,-10.006509799999993,,
موتوغليلين Moutghlilin,29.610954099999987,-10.022828399999993,,
امين تركا-Imin targa,29.59219909999999,-10.03391659999999,,
افتاس ميرلفت-Mirleft,29.578691499999987,-10.047051399999994,,
Ben abdellah - سيدهم محمد,29.56956109999999,-10.051208799999992,,
سوق ايكضاض-Sok igdad,29.546230999999985,-10.064270599999992,,
سيدهم الوافي-Cd lwafi,29.53769499999999,-10.065859799999991,,
تيكونا - Tigona,29.524671399999992,-10.068909199999993,,
فتايسا - Ftaysa,29.514945099999988,-10.070612399999991,,
افتاس ركونت-Aftas rkount,29.50602839999999,-10.075381399999992,,
ايڭر اوزرو-Igr ouzro,29.494846799999994,-10.083012299999991,,
اركاكن - Irggagn,29.48050349999999,-10.098468399999991,,
توينغت - Tiwinght,29.47183589999999,-10.103588599999993,,
بوترامين - Boutramin,29.45996129999999,-10.108612799999989,,
لافاليز - lafalaiz,33.94139899999999,-6.940078999999995,,
واد الشراط-Oued cherrat,33.830610199999995,-7.125127299999991,,
التير - Tir,33.81512089999998,-7.176135199999996,,
ملح - melh,33.82622829999998,-7.150510099999993,,
بلاد البنان-Blad lbanan,33.827440399999986,-7.149017099999992,,
جلايل - Jlayel,33.828489099999985,-7.133802299999993,,
جنب الواد-Janb lwad,33.82683739999999,-7.145452399999992,,
داهومي جديد-Dahomi jdid,33.804256399999986,-7.190375699999994,,
داهومي - Dahomi,33.80970799999999,-7.183701399999993,,
داية جلايل-Dayt jlayl,33.82640819999999,-7.136318499999994,,
دريجات - Dryjat,33.828201599999986,-7.147342699999994,,
شوارج - Chwarej,33.80666919999999,-7.185769699999993,,
لابيسين - Lapisin,33.81787609999999,-7.169323399999993,,
الباركو - Lbarko,33.823485099999985,-7.1404396999999955,,
لمون دالقصبة-Lmoun delkasba,33.82500059999999,-7.149413999999991,,
لمون ديال داهومي,33.805522599999996,-7.197026599999994,,
المون - Lmoun,33.82662349999999,-7.144193099999994,,
الدوشات - Douchat,33.819392799999996,-7.151891099999994,,
لاك - Lac,33.822567899999996,-7.144966299999994,,
السطح الاخض - Stah lakhdar,33.84462389999999,-7.1037252999999945,,
امي أوقادوس - Imi okkadous,30.33156939999999,-9.612423399999992,,
إڭي نسضيست-Iggi nsdist,30.29742547701068,-9.61878776550293,,
اڭد اڭڭون - Aggd aggonn,30.309189499999988,-9.61688389999999,,
سيدهم الطوال -Cd Toal,30.261010799999987,-9.627225299999992,,
الكويرب - El gwireb,30.24261039999999,-9.628662799999994,,
صوفيتيل - Sofitel,30.387709459999986,-9.601189049999991,,
مصب واد سوس - Oued Souss,30.35968483999999,-9.60627452199999,,
حاسي العرب - Hassi laarab,30.22934881599999,-9.631877315899994,,
جورة الدهب,35.50575299781054,35.76440770179033,,
بوموش - Bomoch,30.176785999999986,-9.641049999999991,,
لاخويرا - Lakhwira,30.15568369999999,-9.645876799999993,,
سيدهم وساي - Cd Wassay,30.055708,-9.689948,,
منطقة إصوح - Issoh,29.87457773091338,-9.788738898932934,,
فم الواد - Foum El wad,29.838917719999987,-9.80989400999999,,
اكلو - Aglou,29.80469346999999,-9.83394258699999,,
بيرانمين - Biranimin,29.62978220699999,-10.009151951999991,,
شرفاء - chorafa,29.612202199999984,-10.019390999999993,,
بلاج صوفاج - Plage sauvage,29.577946700401988,-10.04750566026599,,
تابلكونت - Tabelkoukt,29.561256055999987,-10.057697295999992,,
تلات وافود - Talat wafoud,29.528478579899986,-10.069091292399992,,
إد بوشني - Id Bouchani,29.532516846500982,-10.070535460347399,,
الجزيرة - El gzira,29.44568019999999,-10.11433229999999,,
سيدهم افني - Cd ifni,29.367897519999993,-10.18701841999999,,
ماس ماس - Mas Mas,29.316099190999992,-10.213383603999992,,
تازروت - Tazrot,29.28404569999999,-10.230903299999989,,
كريما - Krayma,29.277452899999986,-10.251964099999991,,
سيدهم وارزك - Cd warzg,29.25792439999999,-10.27667929999999,,
اركسيس - Arksis,29.229095099999988,-10.324611599999992,,
فم اساكا - Foum asaka,29.13574229999999,-10.39787738999999,,
الموس - Mouss,29.12989439999999,-10.421051679999989,,
الفرسيك - Farssik,29.081599409999985,-10.456542599999993,,
واد الرملة - Oued ramla,29.06134475599999,-10.477528277999989,,
منطقة تاكومبا - Ras takomba,29.051374532899693,-10.486597023174767,,
واد بيسفن - Oued bysaffn,28.965842,-10.598713,,
Lakhwi - الخوي,28.89085929999999,-10.74331669999999,,
الراس الكحل - Ras El khal,28.802112719799993,-10.949544954999988,,
اوريورا - Awriwra,28.84231399999999,-10.84435299999999,,
واد درعة - Oued daraa,28.679825619999995,-11.123531659999989,,
ras el garn - راس القرن,28.54596999999999,-11.281559999999992,,
Oued chbika - واد شبيكا,28.288199999999986,-11.539819999999992,,
Rwika - رويقا,28.23900999999999,-11.705979999999993,,
El barko - الباركو,28.23751999999999,-11.71068999999999,,
Jilali - جيلالي,28.23049999999999,-11.73064999999999,,
Timorghi - تيمورغي,28.227179999999986,-11.74084999999999,,
Ma fatma - واد مي فاطمة,28.21085999999999,-11.78654999999999,,
Laatatma - العتاتما,28.20379999999999,-11.80553999999999,,
Souihat - السويحات,28.20241999999999,-11.810079999999989,,
Lahrach - الحرش,28.201409999999985,-11.812519999999987,,
Laatadna - العتادنا,28.19583999999999,-11.82552999999999,,
Zor lasfar - زور الاصفر,28.18949999999999,-11.84205999999999,,
Zor guandoz - زور غاندوز,28.184859999999993,-11.85455999999999,,
Taguenza - تاڭنزا,28.18282999999999,-11.86094999999999,,
Oued El waaer - الواد الواعر,28.175689999999992,-11.881799999999991,,
Sok El hot - سوق الحوت,28.173319999999986,-11.88880999999999,,
Mousafia - موصافيا,28.160009999999993,-11.92463999999999,,
Moriam - مريام,28.155059999999988,-11.938389999999991,,
Ras El kalb - راس الكلب,28.149819999999984,-11.95021999999999,,
Mourjam - مورجام,28.146179999999983,-11.95850999999999,,
Born 203 - بورن 203,28.14140999999999,-11.96652999999999,,
Foum sahb - فم سحب,28.139729999999986,-11.969669999999988,,
Ras jmal - راس الجمل,28.12901999999999,-11.990669999999989,,
Zor laghnam,28.122449999999986,-12.005449999999989,,
Bo3od - بوعود,28.11823999999999,-12.01446999999999,,
Gdam ayad - قدام اياد,28.115869999999994,-12.023269999999988,,
Zor taalab - زور الثعلب,28.11290999999999,-12.028909999999989,,
Masyad chleuh - مصيد الشلوح,28.11068999999999,-12.03205999999999,,
Camion - كاميو,28.105499999999992,-12.04217999999999,,
Awni - العاوني,28.10360999999999,-12.045719999999987,,
Akhfnir - اخفنير,28.093369999999993,-12.062699999999992,,
Akla - اكلا,28.066209999999987,-12.166389999999991,,
Naila - نعيلا,28.02872999999999,-12.239539999999991,,
Laouinina - العوينا,28.00466999999999,-12.527709999999987,,
Borra - بورا,27.962589999999988,-12.834669999999992,,
Al hayza - الحيزا,27.88912999999999,-12.979989999999992,,
Negrita - نيكرتا,27.750399999999992,-13.050429999999986,,
Amgrio - قرية الصيادين امكريو,27.67631999999999,-13.166259999999987,,
Zbarat - زبارات,26.89889999999999,-13.489839999999987,,
Zbarat 2 - زبارات 2,26.730179999999994,-13.575049999999987,,
Foum ognit - فم اوكنيت,26.60694999999999,-13.74163999999999,,
Ognit - اوكنيت,26.59099999999999,-13.775749999999986,,
Naamia - النعاميا,26.44888999999999,-14.030479999999988,,
Cd lghazi - سيدهم غازي,26.38805999999999,-14.20260999999999,,
Belali - بيلالي,26.080089999999988,-14.486499999999982,,
Awfist - اوفيست,25.757019999999994,-14.637529999999986,,
Cap 7 - Aftissat,25.61739999999999,-14.685419999999988,,
Tidadnine - تيدادين,25.32009999999999,-14.81196999999999,,
Teghtite - تيغتيت,24.91121999999999,-14.829709999999988,,
Gor touf - كورتوف,24.637429999999988,-14.96914999999999,,
جابية المواد,32.831282904905486,12.985277250409125,,
Oum mamli - اماملي,24.397209999999994,-15.25512999999999,,
Jorf lahmam - جرف الحمام,23.956389999999992,-15.749859999999988,,
Jorf lahmam 2 - جرف الحمام 2,23.921769999999988,-15.802669999999988,,
Hjirat lamgat - حجيرات لمكط,23.89615999999999,-15.830499999999988,,
Annbag - النبك,23.80472999999999,-15.911639999999986,,
فم البوير - Foum lebwira,23.759611971099602,-15.923528932034955,,
El argob - العركوب,23.563089999999992,-15.907619999999989,,
Porto rico - بورتو ركو,23.47736999999999,-15.951729999999982,,
Lakrayem - الكرايم,23.436999999999994,-15.971329999999986,,
Garita - كاريتا,23.377479999999988,-16.007859999999987,,
Sliyeb - سلييب,23.159579999999995,-16.14349999999999,,
Rayma - رايما,23.082279999999994,-16.207269999999983,,
Cintra - سينترا,22.99612999999999,-16.144099999999987,,
Ain Al bayda - العين البيضا,22.91679999999999,-16.21711999999999,,
Al bayda - البيضا,22.853379999999994,-16.30198999999999,,
Golf gorty - كولف كورتي,22.81949999999999,-16.292159999999985,,
Lahjar lkbir - الحجر الكبير,22.591119999999993,-16.359489999999987,,
Cap falcon - كاب فالكون,22.34867999999999,-16.493669999999987,,
Maharyat - مهاريات,22.267279999999992,-16.63210999999999,,
Cap Barbas - بارباص,22.294499999999985,-16.658329999999985,,
سد الوحدة - Sad el wahda,34.52970745333297,-5.094625689089294,,
سد محمد الخامس-Sad mohamed 5,34.6604870037508,-2.9391334578394863,,
سد مشرع حمادي-Sad machraa hamadi,34.73288619377263,-2.803108580410478,,
سد الحنصالي-Sad el hansali,32.693240187661175,-5.863281078636641,,
باديس - Bdes,35.17082596964166,-4.297751113772389,,
امسا - Amsa,35.54603530826957,-5.222980789840217,,
تمرابط - Tamrabt,35.52796401919725,-5.171888060867782,,
اوشتام - Ouchtam,35.50973418661196,-5.15667255967855,,
واد لاو - Wad law,35.47090951902156,-5.102654211223121,,
قاع اسراس - Kaa Asrass,35.415457246945486,-5.068999193608757,,
ترغة - Tergha,35.40218841650008,-5.016020536422725,,
امتار - Amtar,35.24808914361368,-4.792288094758983,,
اسطيحة - Estyha,35.34950719493899,-4.9570183083415,,
بيكيني - Bikini,33.6371782838269,-7.507922463119022,,
مكاد وادي لو-Mekkad,35.47661501775459,-5.106200426816936,,
الحجر الاصفر-EL hajar lasfar,35.47661501775459,-5.106200426816936,,
الرأس,32.83066001381005,12.98201434314251,,
مارينا اسمير-Marina,35.75749671598564,-5.342189557850356,,
Club Evasion,29.709847571205103,-9.946174174547187,,
الخايبا-El khayba,30.157291404134074,-9.645741954445834,,
تيسي اينشادن-Plage Tissi,30.162503022820538,-9.644536972045898,,
الواد الجديد جماعة بوعرك-Wad jdid,35.21077656736989,-2.8543702885508515,,
واد العبد-Wad el abd,33.57711585822759,-7.708063870668403,,
مسبح كونتيك-Kontiki,33.59166395437619,-7.680327482521528,,
حبس الكلاب-Habs elklab,33.756407326583926,-7.299469560384746,,
سوينية - Swinya,33.97394558682212,-6.906804554164405,,
جوهرة - Jawhara,33.88179774289819,-7.028451450169079,,
مشقوقة - Machkoka,34.00190698076464,-6.876518055796617,,
درب الساحل - Derb sahel,30.13200199999999,-9.652837999999992,,
الصمعة سيدهم بودالة,32.39039874854986,-9.271686114370818,,
الدربالية - Derbalya,32.533852618390476,-9.277836084365836,,
توفري لحمام,32.53798815868303,-9.282212778925889,,
المصاطة - El msata,32.549553997286196,-9.278201535344117,,
لالهم نوارة-La La Nowara,32.56357814227603,-9.255899973213664,,
حريش ميلح-Hrych Milh,32.56062242240228,-9.260668605566018,,
القصري - El kasri,32.56729582488295,-9.25082255154847,,
عيشا البحريا-Icha lbahrya,33.31867830324248,-8.33594720810651,,
سيدهم بونعيم-Cd bounaim,33.3819367513126,-8.22373263537883,,
الولجة - El walja,33.404494061010524,-8.1778048351407,,
كهف الحمام-Kahf el hmam,35.387464637312775,-6.082745790481562,,
راس المشة-Ras el mecha,23.509410111177903,-15.974881835281835,,
السروال - Serwal,33.68984642035695,-7.431127466261379,,
عش الغراب,33.68863095115888,-7.432519197463982,,
البلدية - El baladya,33.630034004695894,-7.5171556323766655,,
لعكارطة  - سيدهم كرام الضيف,32.717025067772965,-9.064802639186375,,
المحمدية 1-Mohamedia 1,33.683262818491244,-7.440175563096993,,
سيدهم صالح-Cd saleh,31.774072416073533,-9.600236266851415,,
سيدهم بطاش-Cd btach,31.85436173420457,-9.525562897324553,,
بودالة - Boudala,32.390426210516125,-9.269769676029675,,
الطارفة - Tarfa,33.68991950976311,-7.431267276406282,,
بومباج - Pompage,32.20003282253092,-9.25352353602647,,
راس الافع-Ras lefaa,32.323756828137384,-9.266608357429497,,
برج الناضور-Borj nador,32.33763371654644,-9.281590506434434,,
ابن كرارا-Ben grara,32.381118107587056,-9.280888438224784,,
سيدهم بوشتى-Cd bouchta,32.518048979583384,-9.271289817988865,,
كوريت العبد-Koryt el aabd,30.267386674082008,-9.626528285443777,,
فم الواد - Foum lwad,30.270198669002895,-9.625943899154658,,
المون - El moon,33.25763310039722,-8.524937666952603,,
رأس العنصر-Ras el onser,35.1843733700181,-4.217269085347649,,
الجريف - jreyef,33.25184595070418,-8.533404730260365,,
الحفيرة - El hfeyra,33.249324168858706,-8.536116108298295,,
فم الجمل - Foum Jmal,33.24498980896819,-8.541996181011193,,
ضاية كحيلة-Dayt kehila,33.247582094939695,-8.539359569549553,,
لمريسة - Lemrysa,34.0628862585379,-6.813741959631438,,
الخربة - El kharba,34.06381144060853,-6.813539452850811,,
بوخراش - Boukherach,34.06476160957937,-6.810751631855958,,
سطح الشرغو شليرا,34.07101451661019,-6.80584587156772,,
سيدهم موسى -البرج,34.046709633269906,-6.830672733485693,,
برغاما - Berghama,34.04412991007819,-6.832287088036531,,
المون الهايج-El moon lhayej,34.039707027369,-6.837695762515062,,
المون الصغير-El moon sghir,34.03646306300973,-6.835176497697826,,
المرسى - Port,30.419054999999986,-9.631786999999994,,
انزا الفيلا-Anza lvilla,30.465208893468482,-9.667968414723864,,
مدردب - Mderdeb,33.99170475953853,-6.888380795717232,,
دار الفلوكة-Dar leflouka,33.99096420787522,-6.888543069362633,,
كريسي - Krysi,33.99017694767834,-6.888871975243086,,
فم الشكارة-Foum chekkara,33.98895907069573,-6.890047788619989,,
كابينيدي - Kapinidi,33.98415939241525,-6.895427294075482,,
تونفيت سعيد أومزيل-Tounfit said oumzil,30.698274379905783,-9.873387068510047,,
تاغروط نمسعود - Bymocha,30.690551563809706,-9.87722095102071,,
وراء الجزيرة-Awra legzira,33.732705749697686,-7.337393313646309,,
حفرة ميموزة-Hafrat mymouza,33.732734190161445,-7.33643073588609,,
Station Foum Elwad,27.15831984481646,-13.409210443496692,,
بلاية العيون-Playt Laayoun,27.08951490911161,-13.427805528044686,,
مصنع السردين-Usine de sardine,27.081313756032472,-13.418692052364339,,
قصر السعودي-Ksar saoudi,30.49130399999999,-9.676130999999993,,
تيسي حماد أوحمو - Tissi,30.17153099999999,-9.642518999999993,,
سد عبدالمومن - B.Abdelmoumen,30.70150999999999,-9.204567999999991,,
سد يوسف بن تاشفين - B.Ben tachefin,29.862307999999988,-9.472836999999993,,
حجرة بايتا-Hejra bayta,35.682568548479594,-5.273430794477457,,
سيدهم بلخير - Cd belkhyr,32.99759836599973,-8.742413520812981,,
لغويرڭات - Leghwiregat,33.001709605840254,-8.73566072434186,,
ضفة واد سوس - Wad souss,30.36362499999999,-9.592823999999991,,
اشاكار-Achakar,35.782141872177505,-5.93160599470138,,
رميلات - Rmylat,35.79663687870594,-5.864618159830565,,
مرقالة - Merkala,35.79112796173918,-5.81289410591125,,
منار - Menar,35.818942767803705,-5.741629824042315,,
بلايا بلنكا-Playa Blanca,35.82461313546466,-5.722541213035578,,
شالييرة - Chalira,34.06128501142221,-6.817008554935448,,
روش نوار - Roche Noire,33.60746085609389,-7.576012350618831,,
مريزڭا - Mrizigua,33.60442552424665,-7.6401171460747666,,
كابانو - Cabano,33.60728633438914,-7.658057101070877,,
لالهم مريم - La La Meryam,33.60131887571515,-7.664265073835845,,
ميامي بلاج-Miami Plage,33.59661414957475,-7.678820751607413,,
مدام شوال-Madam Lola,33.573318246764146,-7.711196020245546,,
الجزيرة - El gzira,33.90948723295107,-6.990104243159291,,
شاطئ القصر-Plage du palais,33.52909304102225,-7.804476544260972,,
روز ماري-Rose Mary,33.90737527155262,-6.991929151117797,,
حرشان - Hercha,33.02955166694512,-8.705955594778052,,
المعاشات - El Maachat,32.415318604540516,-9.249273911118499,,
جعجاع - Jaajaa,32.421260161716354,-9.248584918677802,,
طوركين - Torkin,32.37632523270267,-9.285426065325726,,
تلامت - Talamt,32.3650888563846,-9.289477877318856,,
بورافان - Bourafan,32.36912170950254,-9.288477078080168,,
سيدهم خليل-Cd Khlil,32.356547936373815,-9.28655762225389,,
اجلا - Ajla,35.79746493731587,-5.858812853693958,,
سيدهم قنقوش-Cd Kenkoch,35.828987561715614,-5.709053725004191,,
بوخرباش - Boukherbach,34.06799393742932,-6.80844727903604,,
الصميعة - Essmiaa,34.06413251614419,-6.8108599260449365,,
الكفييع - lakfi3,29.898344194611475,-9.772636927664273,,
تيمزليت - Timzlit,29.845925101689875,-9.803811907768242,,
تيبلاضين - Tibladin,30.046832199608733,-9.696346856653683,,
ايمي ايفري-Imi Ifri,30.03915237667233,-9.700300097465508,,
تيشيشت - Tichicht,30.04268299999999,-9.698205999999992,,
نسي جامع-Nssi jamaa,30.03953839913952,-9.69915278255939,,
شاريج نبولڭرن-Charij bolgern,30.035043901523743,-9.7014108672738,,
تاغارت - Taghart,30.065145452699106,-9.682263582944861,,
 ايمي واسيف-Imi Wassif,30.075396226461255,-9.675370976328843,,
المون - El moun jdid,34.037470494479436,-6.83959878981113,,
الشليرة - Chlira,34.06353563686305,-6.811903975903983,,
الدبو - Dibbou,33.99238999999999,-6.887670999999994,,
لافاليز - Lafalaiz,33.706740415075686,-7.409399226307863,,
واد ريشة-Wad Richa,27.346583730870726,-13.299097381532183,,
غانسو - Ghanso,35.19884372479232,-3.311875686049459,,
عبدون - Abdoun,35.2006779538304,-3.3084468171000454,,
إسري نرمرح-Isri Nermarh,35.20685348065892,-3.295419663190839,,
بوسعيد - Bousaid,35.20939127727419,-3.2802588120102856,,
 إفري إفونسن-Ifri Ifounasn,35.221645494075126,-3.2322244718670814,,
إشمرارن - Ichemraren,35.22312232865027,-3.206024989485738,,
شعابي - Cheaabi,35.185230231908626,-3.3482471108436553,,
ضاية كيرش-Dayt Kirch,33.43468923076465,-8.078622110188,,
السوقية - Soukia,35.799584945576086,-5.910103060305114,,
غرايد عمر-Ghrayd Omar,31.462801761660277,-9.786103628575795,,
تربكون-Tiropigon,33.71111476684334,-7.4043358862399975,,
دوسامير-Dossamir,33.689938758489504,-7.4312756583094535,,
لوينو - Loweneu,33.687855128575116,-7.435844130814069,,
المرسى-Port Mouhamadia,33.73318226563566,-7.386636659502981,,
زناتة  - Znata,33.652503000363,-7.484004534780973,,
ديكي - Diki,35.83318397892538,-5.587677396833892,,
طيفور - Tayfor,33.702998164954224,-7.414321750402444,,
سيدهم محمد شرقي-Cd mhamad charki,33.72855278314821,-7.343565747141832,,
المون الكبير-Lmoun Lkbir,34.03938447017785,-6.837210617959494,,
قصبة كناوة-Kasbat Gnawa,34.06069255620922,-6.817316673696035,,
كاري فور-Carryfour,34.065239328626596,-6.810549460351462,,
ازرو عيسى-Azro Aissa,31.61203288781298,-9.68459911644458,,
قلعات رمل - Chowafa,34.08132550039023,-6.792573295533651,,
برج البارود-Borj El barod,31.488289436330366,-9.774435684084885,,
سعيد حجي بو شوك-Said bochok,34.08930649346299,-6.785004436969751,,
الماء الحلو - Lma lahlou,31.440151412643118,-9.804398305714123,,
مرتفع اركسيس,29.22772435527495,-10.33518835902214,,
المركز - Lmarkaz,33.71005132118018,-7.3886144533753315,,
مانسمان-Mansman,33.71121405456775,-7.37260937690734,,
الرأس الاسود-Cabo Negro,35.66704821570106,-5.282490961253638,,
مونيكا - Monika,33.71356401646427,-7.355412058532234,,
بريميلة-Brimila,33.71541136599704,-7.3532592505216545,,
