ID;Nombre;Nombre científico;Familia;Foto URL;Región;Hábitat;Talla mín (cm);Talla máx (cm);Peso mín (kg);Peso máx (kg);Temporada;Técnicas y cebos;Descripción;Consejos;Normativa
sole;Lenguado común;Solea solea;Soleidae;https://images.pexels.com/photos/15974829/pexels-photo-15974829/free-photo-of-a-blue-tray-with-fish-on-it.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;Fondos arenosos y fangosos. De 2 a 70m.;15;60;0.1;3;Todo el año. Mejor de marzo a mayo y octubre a diciembre.;"Surfcasting - Pesca nocturna sobre fondos de arena y fango. [Arenícola: El gusano rey del lenguado. Ensartar 2-3 gusanos en el anzuelo. | Navaja: Muy eficaz en el Mediterráneo. | Mejillón: Cebo natural sobre fondos fangosos.] ;; Pesca al coup - Pesca fina desde barco sobre fondos de arena. [Gusanos marinos: Nereis y arenícolas. | Camarón: Camarones pequeños enteros.]";El lenguado común es un pez plano muy apreciado por su carne delicada. Vive enterrado en la arena durante el día y sale a alimentarse por la noche. Sus ojos están todos del mismo lado (izquierdo). Su pesca requiere paciencia y discreción pero la recompensa está a la altura de su reputación gastronómica.;El lenguado se pesca casi exclusivamente de noche. Los fondos de arena fina cerca de las rocas son los mejores puntos. Montaje ligero y discreto. Arenícola en ramillete. El lenguado pica a menudo con pequeños toques: espere a que avance con el cebo antes de clavar.;"Talla mínima: 24cm en el Mediterráneo, 20cm en el Atlántico. Sin veda."
turbot;Rodaballo;Scophthalmus maximus;Scophthalmidae;https://images.pexels.com/photos/20121107/pexels-photo-20121107/free-photo-of-fish-at-fishmonger.jpeg?auto=compress&cs=tinysrgb&w=600;Océano Atlántico;"Fondos arenosos, de grava. De 5 a 70m.";30;100;1;25;Todo el año. Mejor en primavera y otoño.;"Surfcasting - Pesca nocturna en playas de arena y grava. [Pececillo vivo: El mejor cebo para el rodaballo. | Sardina en filete: Muy atractiva. | Navaja: Buena alternativa.] ;; Pesca al coup - Pesca desde barco a la deriva sobre fondos de arena. [Lanzón vivo: Cebo vivo de primera elección. | Camarón: Eficaz en montaje ligero.]";"El rodaballo es el mayor de los peces planos europeos. Su cuerpo ancho y aplanado está cubierto de tubérculos óseos. Pez de fondo, se camufla en la arena para sorprender a sus presas. Su carne está considerada como una de las más finas del mar. Su captura es siempre un acontecimiento.";El rodaballo prefiere los fondos de grava y conchuela. Un cebo vivo suele ser decisivo. Las noches sin luna son las más productivas. Equipo robusto porque el rodaballo no se deja vencer fácilmente.;Talla mínima: 30cm. Sin veda.
roussette;Pintarroja (Alitán);Scyliorhinus canicula;Scyliorhinidae;https://images.pexels.com/photos/36171122/pexels-photo-36171122.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Fondos arenosos, rocosos, de grava. De 5 a 100m.";20;80;0.2;3;Todo el año. Muy común en otoño-invierno.;"Surfcasting - Pesca nocturna en todo tipo de fondos. [Sardina entera: Cebo universal para la pintarroja. | Trozo de caballa: Muy atractivo. | Cangrejo verde: Eficaz en invierno.] ;; Palangre - Línea de fondo con múltiples anzuelos. [Sardina en trozos: Clásico y eficaz.]";"La pintarroja es el tiburón más común en nuestras costas. Este pequeño escuálido nocturno se alimenta de crustáceos, moluscos y pequeños peces. Muy resistente, puede ser invasiva en surfcasting nocturno. Su carne es comestible pero poco apreciada.";"Si no busca pintarrojas, use cebos selectivos (navaja) y evite los cebos cárnicos por la noche. De lo contrario, son fáciles de capturar con sardina.";Sin talla mínima. Sin veda.
congre;Congrio;Conger conger;Congridae;https://images.pexels.com/photos/19993441/pexels-photo-19993441/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Rocas, pecios, grietas, puertos. De 2 a 100m+.";40;250;1;40;Todo el año. Mejor de noche, sobre todo en invierno.;"Surfcasting - Pesca nocturna cerca de rocas y espigones. [Sardina entera: Cebo número 1 para el congrio. | Cabeza de caballa: Muy atractiva y resistente. | Calamar en trozos: Eficaz en el Mediterráneo.] ;; Palangre - Línea de fondo cerca de grietas rocosas. [Sardina en trozos: Imprescindible.]";"El congrio es el mayor anguiliforme de nuestras costas. Este depredador nocturno vive en grietas rocosas y pecios. Puede alcanzar 2,50m y 40 kg. Su poderosa mandíbula y su dentadura formidable exigen bajos de línea de acero. Combate largo y tenaz.";El congrio muerde con golpes potentes pero no huye: clavada firme necesaria. Bajo de acero obligatorio (corta el fluorocarbono). Las sardinas grandes enteras son las más selectivas. Pesque de noche lo más cerca posible de las rocas.;"Sin talla mínima en el Atlántico, 58cm en el Mediterráneo. Sin veda."
mur-loup;Merlán (Plegonero);Merlangius merlangus;Gadidae;https://images.pexels.com/photos/19993434/pexels-photo-19993434/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Océano Atlántico;"Fondos arenosos y fangosos, a veces rocosos. De 10 a 200m.";20;70;0.2;3;Todo el año. Mejor en invierno.;"Surfcasting - Pesca nocturna en playas de arena. [Arenícola: Cebo clásico del merlán. | Navaja: Eficaz en período frío. | Trozo de caballa: Para los grandes ejemplares.] ;; Pesca al coup - Pesca desde barco a la deriva. [Gusanos marinos: Montaje ligero, picadas rápidas. | Camarón: Muy apreciado por el merlán.]";"El merlán es un gádido esbelto muy común en las costas atlánticas. Se desplaza en bancos y se pesca fácilmente desde orilla en surfcasting, sobre todo de noche. Pez modesto pero excelente a nivel culinario, es el compañero habitual de los pescadores nocturnos en el Atlántico.";El merlán es un pez nocturno por excelencia. Pesque en la playa con gusanos marinos. Las picadas son francas y fáciles de detectar. Es un excelente pez para iniciarse en el surfcasting.;Talla mínima: 20cm. Sin veda.
pageot-rose;Pagel (Breca rosa);Pagellus erythrinus;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Fondos arenosos y fangosos, praderas. De 10 a 80m.";15;50;0.2;2;Todo el año. Mejor de abril a octubre.;"Surfcasting - Pesca sobre fondos arenosos en el Mediterráneo. [Navaja: Cebo de primera elección. | Cangrejo verde: Eficaz en todas las estaciones.] ;; Pesca al coup - Pesca fina desde barco sobre fondos de arena. [Gusanos marinos: Nereis y gusanos de arena. | Camarón: Montaje ligero, anzuelo pequeño.]";"El pagel es un espárido elegante de cuerpo rosado. Muy común en el Mediterráneo, prefiere los fondos arenosos y las praderas. Pez gregario, se captura fácilmente con cebos naturales. Su carne fina lo convierte en un pescado muy apreciado.";El pagel es menos desconfiado que la dorada. Un montaje simple es suficiente. Las horas cálidas son favorables en verano. Cebe pequeño para maximizar las picadas.;Talla mínima: 15cm. Sin veda.
chinchard;Jurel (Chicharro);Trachurus trachurus;Carangidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Pelágico, bancos en superficie y media agua. Costas y mar abierto.";15;50;0.1;1.5;Todo el año. Muy activo en verano.;"Spinning - Búsqueda activa sobre los bancos en superficie. [Pequeño señuelo duro: Recogida rápida. | Señuelo blando pequeño: Bajo los bancos en superficie. | Jig metálico ligero: Lance al centro del banco.] ;; Pesca al coup - Pesca a plomada con engodo. [Gusanos marinos: Cebo ligero. | Pasta de pescado: Engodo atractivo.]";"El jurel (o chicharro) es un carángido pelágico muy común. Se mueve en bancos densos y caza en superficie, creando cacerías visibles. Pez combativo para su tamaño, es también un excelente cebo vivo para los depredadores (lubina, corvina, atún).";Detecte las cacerías en superficie. Lance al corazón del banco con un señuelo pequeño. Recogida rápida y a tirones. El jurel es perfecto para la pesca familiar.;Talla mínima: 15cm. Sin veda.
crabes-ces;Cangrejo verde (Cangrejo común);Carcinus maenas;Portunidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Rocas, fangales, puertos, estuarios. Zona intermareal.";2;8;0.01;0.1;Todo el año. Más activo en invierno.;"Cebo muerto - Cebo universal montado en el asta o en trozos. [Cangrejo verde entero: Montado en el asta, caparazón fisurado. | Cangrejo verde en trozos: Pinzas y patas eficaces.]";"El cangrejo verde (o cangrejo común) no es un pez sino el cebo rey de la pesca de mar desde orilla. Presente en todas las costas, se recoge fácilmente bajo las piedras. Entero en el asta con el caparazón fisurado, o en trozos, atrae a todos los espáridos: doradas, sargos, pageles. En invierno, suele ser el único cebo que funciona.";"Recoja los cangrejos bajo las piedras en marea baja. Ensarte entero fisurando el caparazón para difundir los olores. En invierno, los cangrejos blandos (que acaban de mudar) son los más eficaces. El cangrejo verde se conserva vivo en un cubo de agua de mar a la sombra.";Sin normativa específica para la recolección.
dorade-rosy;Pagro (Pargo dorado);Sparus pagrus;Sparidae;https://images.pexels.com/photos/33654184/pexels-photo-33654184/free-photo-of-fresh-bream-display-at-seafood-market.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Fondos rocosos, coralígeno, arena. De 10 a 100m.";20;60;0.5;5;Todo el año. Mejor en otoño-invierno.;"Surfcasting - Pesca frente a costas rocosas. [Navaja: Cebo principal del pagro. | Cangrejo verde: Eficaz en invierno.] ;; Paternoster - Montaje sobre fondos duros. [Calamar en tiras: Muy atractivo en el Mediterráneo. | Mejillón entero: Natural y gratuito.]";"El pagro es un espárido de buen tamaño, primo de la dorada real. Menos común pero más robusto, prefiere los fondos rocosos profundos. Su carne es excepcional. Su captura es siempre un acontecimiento ya que es un pez escaso y desconfiado.";El pagro es un pez escaso: no lo espere en cada lance. Cebe generosamente y pesque con paciencia. Las zonas de coralígeno son sus refugios preferidos.;Talla mínima: 20cm. Sin veda.
lancon;Lanzón (Aguacioso);Ammodytes tobianus;Ammodytidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Fondos arenosos, zona intermareal. Se entierra en la arena.";8;20;0.005;0.03;Marzo a octubre. Mejor en verano.;"Cebo vivo - Cebo vivo de primera elección para todos los depredadores. [Lanzón vivo: Capturado con red o botella, montado vivo.] ;; Pesca al coup - Pesca directa del lanzón (para consumo o cebo). [Pasta de pescado: Engodo para atraer a los lanzones.]";"El lanzón es un pequeño pez en forma de cuchilla que se entierra en la arena. Es el cebo vivo por excelencia: lubina, corvina, abadejo, rodaballo... todos los depredadores lo adoran. Se captura con botella o red en las playas de arena. Su recolección es un ritual del pescador de mar.";Para recoger lanzones: llene una botella de plástico con agua de mar y entiérrela en la arena en marea baja. Los lanzones se refugiarán en ella. Consérvelos vivos en un cubo de agua de mar con arena.;Sin normativa específica.
merou-brun;Mero moreno;Epinephelus marginatus;Serranidae;https://images.pexels.com/photos/14062103/pexels-photo-14062103.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Rocas, cuevas, pecios. De 5 a 60m.";30;140;1;50;Todo el año. Más activo en primavera y otoño.;"Spinning - Pesca a señuelos cerca de cuevas y grietas. [Señuelo duro grande: Imitación de pez de tamaño. | Señuelo blando (shad 15cm+): Pesca profunda en grietas.] ;; Cebo vivo - Pesca al vivo frente a las cuevas. [Sardina viva: El mejor cebo del mero. | Múgil vivo: Para los grandes ejemplares.] ;; Jigging - Jigging vertical en cantiles profundos. [Jig metálico 60-200g: Prospección de zonas profundas.]";"El mero moreno es el señor de las rocas mediterráneas. Este serránido masivo puede alcanzar 1,40m y 50 kg. Vive en cuevas y grietas rocosas que defiende ferozmente. Pez muy curioso, se acerca a menudo a los buceadores. Su pesca es deportiva y su combate memorable.";El mero es territorial: siempre vuelve a su cueva. Localice los puestos y pésquelos metódicamente. Un señuelo que pase delante de su cueva desencadena el ataque. Atención: el mero está protegido en algunas zonas.;ESPECIE PROTEGIDA en el Mediterráneo español. Pesca prohibida en reservas. Fuera de reserva: talla mínima 45cm. Verifique la normativa local.
oblade;Oblada (Chucla);Oblada melanura;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Superficie y media agua cerca de costas rocosas, puertos, espigones.";10;30;0.05;0.3;Abril a octubre. Muy activa en verano.;"Pesca al coup - Pesca con flotador cerca de espigones y puertos. [Pasta de pan: Cebo tradicional de la oblada. | Camarón: Vivo preferentemente.] ;; Pesca a la bomba - Engodo concentrado en superficie. [Bomba de pan: Mezcla muy atractiva en superficie.]";"La oblada es un pequeño espárido gregario muy común en el Mediterráneo. Reconocible por su mancha negra en el pedúnculo caudal, se mueve en bancos densos cerca de la superficie. Fácil de capturar, es el pez ideal para iniciar a los niños en la pesca de mar.";Engode en superficie para concentrar el banco. Pesque con flotador waggler muy ligero. La oblada es excelente en fritura.;Talla mínima: 10cm. Sin veda.
girelle;Doncella pavo real;Thalassoma pavo;Labridae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Rocas, praderas, zona litoral. De 0 a 20m.";8;25;0.02;0.15;Todo el año. Muy activa en verano.;Pesca al coup - Pesca fina con flotador cerca de rocas. [Camarón: Lo mejor para la doncella. | Gusanos finos: Montaje ultra-ligero.];"La doncella pavo real es uno de los peces más bellos del Mediterráneo. Sus colores tornasolados (azul, verde, amarillo) la convierten en un pez espectacular. Este lábrido de pequeño tamaño vive sobre rocas y praderas. Muy curiosa, se acerca fácilmente a los pescadores.";La doncella se pesca con flotador ultra-ligero. Cebe pequeño (trozo de camarón). Es un excelente pez para la pesca familiar en el Mediterráneo.;Sin talla mínima. Sin veda.
